Sl No,Organisation Name ,InstituteName,InstituteAddress,InstituteCode/A ffiliation No,School Type,PhoneNumber,
1,515 army base wkshop high school,515 army base wkshop high school,"515 army base wkshop high school, cambridge road cross, halasuru
,560008",880016,,Secondary School,8025307559
2,A M C SCHOOL,A M C SCHOOL,"18TH KM NATIONAL PARK ROAD BANGALORE KARNATAKA ,560083",830145,,Secondary School,080 27828657
3,ACHIEVERS ACADEMY,ACHIEVERS ACADEMY,"NO:49,SRIRAMPURA VILLAGE,BOMMASANDRA- JIGANI LINK ROAD,ANEKAL TALUK,BANGALORE 562105.
,562105",830619,,Secondary School,8027839266
4,AECS MAGNOLIA MAARUTI PUBLIC SCHOOL,AECS MAGNOLIA MAARUTI PUBLIC SCHOOL,"909/36, AREKERE, BANNERGHATTA ROAD,
,560076",830230,,Senior Secondary,080 26485622
5,Agragami Vidya Kendra,Agragami Vidya Kendra,"C/A site No.15/1A A sector 13th Main Road, 80 Feet road, Yelahanka New Town, Distt Bangalore, Karnataka ,560064",830199,,Secondary School,080 41686714
6,AIR FORCE SCHOOL,AIR FORCE SCHOOL(A.F.S YELAHANKA ),"A.F.S YELAHANKA BANGALORE KARNATAKA
,560063",880010,,Secondary School,080 28478067
7,AIR FORCE SCHOOL,AIR FORCE SCHOOL(J C NAGAR HEBBAL),"POST J C NAGAR HEBBAL BANGALORE KARNATAKA
,560006",880005,,Secondary School,"080 23411061
extb 7955 7631
7633"
8,AIR FORCE SCHOOL,AIR FORCE SCHOOL(JALAHALLI EAST),"JALAHALLI EAST BANGALORE KARNATAKA ,560014",880006,,Secondary School,080 8397641
9,AIR FORCE SCHOOL,AIR FORCE SCHOOL(MURUGESHPALAYAM ),"MURUGESHPALAYAM CAMP VIMANPURA POST BANGALORE KARNATAKA
,560017",880009,,Secondary School,080 5272332
10,akash international residential public school,akash international residential public school,"baichapura devanahalli town prasannahalli road, bangale rural- 562110, prasannahalli road, bangale rural district. ,562110",830419,,Senior Secondary,91 9480355444
11,ALPINE PUBLIC SCHOOL,ALPINE PUBLIC SCHOOL,"OFF KANAKPURA ROAD, BEHIND METRO. OPP OF DELHI PUBLIC SCHOOL, BANGALORE
,560062",830299,,Senior Secondary,91 7815010800
12,AMARA JYOTHI PUBLIC SCHOOL,AMARA JYOTHI PUBLIC SCHOOL,"BASAVANAPURA MAIN ROAD DEVA SANDRA K R PURAM BANGALORE KARNATAKA
,560036",830149,,Secondary School,080 64501555
13,AMRITA VIDYALAYAM(JNANABHARATH I II STAGE),AMRITA VIDYALAYAM(JNANABHARATH I II STAGE),"#136, MATA AMRITANANDAMAYI ROAD, JNANABHARATHI II STAGE,(BEHIND BANGALORE UNIVERSITY) ULLALA UPANAGARA POST ,560056",830260,,Secondary School,080 64558737
14,,ANAND SHIKSHA KENDRA,"KAIKONDANAHALLI BELANDUR GATE CARMELRAM POST SARJAPUR ROAD BANGALORE KARNATAKA ,560035",830105,,Senior Secondary,080 41688547
15,,ARMY PUBLIC SCHOOL(A.S.C CENTRE SOUTH AGARAM POST),"A.S.C CENTRE SOUTH AGARAM POST BANGALORE KARNATAKA ,560007",880017,,Secondary School,080 5550677
16,,ARMY PUBLIC SCHOOL(K KAMARAJ ROAD),"ABDUL HAMID BARRACKS K KAMARAJ ROAD BANGALORE KARNATAKA ,560042",880004,,Secondary School,080 5591999
17,,ARMY PUBLIC SCHOOL(MEKHRI CIRCLE),"NEAR MEKHRI CIRCLE J C NAGAR P.O. BANGALORE KARNATAKA ,560006",880012,,Senior Secondary,080 23433341
18,,ASHOK INTERNATIONAL PUBLIC SCHOOL,"Vasanthappa Main Road, Kammagondahalli, Bangalore - 560 015. ,560015",830291,,Secondary School,0 23450848
19,,ASIA PACIFIC WORLD SCHOOL,"#39/2, Serenity Layout, Kaikondrahalli, Varthur Hobli, Sarjapur Main Road, ,560035",830821,,Secondary School,080 65973261
20,,Assisi School,"Assisi Road, Sacred Hearts Road, T.C.Palya Main Road, ,560036",830659,,Secondary School,080 28474109
21,,Atreya Vidyaniketan,"no. 75/9 & 10, 15th main road, 11th cross, ward no. 13, j.c.nagar (kurubarahalli) bangale - 560086
,560086",830389,,Secondary School,080 23190295
22,,Auden School,"No.6, 7th Block, B.S.K. 3rd Stage, Bangalore -560085 ,560085",830806,,Secondary School,8026722888
23,,Auro Mirra International School,"No. 110 Gangadhar Chetty Road Halasuru ,560008",830752,,Secondary School,080 25580888
24,,BBUL JAIN VIDYALAYA,"84 K.R. ROAD SHANKARAPURAM BANGALORE KARNATAKA
,560004",830012,,Senior Secondary,080 41554379
25,,BEL SCHOOL,"M E S ROAD JALAHALLI BANGALORE KARNATAKA
,560013",830033,,Secondary School,080 22195682
26,,BMN PUBLIC SCHOOL,"MAKALI.ALUR ROAD, BANGALORE NORTH ,562123",830227,,Secondary School,080 65355600
27,,BRS GLOBAL SCHOOL,"No.15/3, Kasavanahalli Village , Sarjapura Main Road ,Carmellaram Post,Bangalore-560035 ,560035",830346,,Secondary School,080 42172280
28,,BRV Public School,"No. 06, M S Linge Gowda Layout, Prashanthinagar, Vasanthapura Main Road, 10th Cross, Isro Layout, Bangalore-560 061.
,560061",830367,,Senior Secondary,080 26665374
29,,BALAJI NATIONAL PUBLIC SCHOOL,"VENKATAIAHNAPALYA,BYCH APUR POST.OPP TO SERICULTURE QUARTERS, THAGGIKUPPE POST ,562120",830788,,Secondary School,8027100346
30,,Bangalore Scottish School,"24-39, Shreyas Colony, J P Nagar 7th Phase, Kothanoor ,560078",830354,,Secondary School,080 26850823
31,,BEML PUBLIC SCHOOL,"SHISHYA BEML TOWNSHIP NEW THIPPASANDRA BANGALORE KARNATAKA
,560075",830071,,Senior Secondary,080 25247242
32,,BGS INTERNATIONAL RESIDENTIAL SCHOOL,"NITHYANANDA NAGARA BRANCH K GOLLAHALLI POST BANGALORE SOUTH KARNATAKA ,560060",830058,,Secondary School,080 28437582
33,,BGS National Public School,"Ramalingeshwara Cave Temple, Hulimavu, Bannerghatta Road, Distt Bangalore, Karnataka ,560076",830209,,Senior Secondary,080 26484933
34,,BGS Public School,"#67 Uttharahalli Road BGS Health
& Education City Kengeri ,560060",830254,,Secondary School,080 28611916
35,,Bhavan-Bangalore Press School,"No. 89, Mysore Road, Chamarajpet
,560018",830590,,Senior Secondary,080 26705069
36,,BRILLIANT NATIONAL SCHOOL,"#129/1, BAIYAPPANAHALLI MAIN ROAD, BEHIND NARAYANA MATTA, BIDARAHALLI HOBALI, BANGALORE -49 ,560049",830612,,Secondary School,"080
9845019858"
37,,CAMBRIDGE CBSE ACADEMY,"18/1,18/2,SHIVANAHALLI,OPP.S URABHI LAYOUT,YELAHANKA, BANGALORE. ,560064",830746,,Secondary School,"08028460147
28463235"
38,,Candour 5 Education Academy,"No.57Pattanagere Main Road, R V Post, Near R V Engineering College, Mysore Raod, Bangalore - 560 059. ,560059",830813,,Secondary School,8028604499
39,,CAPITAL PUBLIC SCHOOL(B.NARAYANAPURA EXTENTION),"#140/3,B.NARAYANAPURA EXTENTION, DOORAVANI NAGAR POST, BANGALORE
,560016",830700,,Secondary School,"01634
08032957232"
40,,CAPITOL PUBLIC SCHOOL( J P NAGAR),"NO 1, 9TH CROSS, RBI LAYOUT, PHASE VII, J P NAGAR, BANGALORE, KARNATAKA. ,560078",830201,,Secondary School,080 26851095
41,,CAPSTONE HIGH,"# 164, NH-4 Kolar Highway, Opp. MVJ Medical College, Hosakote,
,562114",830670,,Secondary School,"080
9686679948"
42,,Chinmaya Vidyalaya Banashankari,"CA 1 6th phase, 9th Block, Banashankari, Bengaluru-560060
,560060",830808,,Secondary School,8022728604
43,,CHITRAKOOTA SCHOOL,"#37/6, NAGADEVANAHALLI, KENGERI HOBLI, BANGALORE
,560056",830553,,Senior Secondary,080 28484660
44,,CHRIST ACADEMY (CBSE) SCHOOL,"HULLAHALLI, BEGUR - KOPPA ROAD, SAKKALWARA POST
,560083",830676,,Secondary School,91 9972222400
45,,CHRYSALIS HIGH,"#125, KUMBENA AGRAHARA, BEHIND HP PETROL PUMP, WHITEFIELD KADUGODI ROAD, BANGALORE - 560067
,560067",830665,,Secondary School,91 9535233050
46,,Chrysalis High,"15/1B, A Sector, LBS Nagar, Yelahanka New Town ,560064",830640,,Secondary School,080 40964204
47,,cmr national public school,"2079 2nd main road banaswadi layout bangalore karnataka ,560084",830051,,Secondary School,080 25440693
48,,CREAA ACADEMY FOR LEARNING,"K K Towers, Sy. No. 34/3, Site No. 4, Channasandra, Uttarahalli- Kengeri Main Road, Subramanyapura Post ,560061",830755,,Secondary School,080 28612275
49,,Dayananda Aryavidya Public School,"Sy. 58 & 67 Kanthaianapalya, Pipe Line Road, Kaggalipura, Uttarahalli Hobli, Off kanakapura Road, Bangalore South Taluk, Bangalore. 560062 ,560061",830217,,Secondary School,080 26666701
50,,Deeksha High School,"Sahasradeepika Road, Off Bannerghatta Road ,560083",830595,,Secondary School,080 27837111
51,,Delhi Public School (Sulikunte VillageBangalore East),"43/1B & 45, Sulikunte Village, Dommasandra Post, Sarjapur Road, Bangalore, Karnataka ,562125",830284,,Secondary School,080 65701661
52,,DELHI PUBLIC SCHOOL( SATANUR VILLAGE),"35/1A SATANUR VILLAGE JALAHOBLI BANGALORE NORTH TALUK BANGALORE KARNATAKA ,562149",830092,,Secondary School,080 29724861
53,,DELHI PUBLIC SCHOOL(KONNANAKUNTE ),"11 KM KANKA PURA ROAD BIKASPURA ROAD KONNANAKUNTE BANGALORE KARNATAKA
,560062",830087,,Senior Secondary,080 26668582
54,,"DELHI PUBLIC SCHOOL,(ELECTRONIC CITY)","SY NO. 33, ,560068",830652,,Senior Secondary,"080
9632190257"
55,,"DELHI PUBLIC
SCHOOL,(Mallasandra Village,Hoskote)","Survey No 123/124,Mallasandra Village,Hoskote taluk,Bangalore- 560 067 ,560067",830584,,Senior Secondary,91 7847082697
56,,Deva matha central school (vidyaranyapura),"defence layout, vidyaranyapura, bangale - 97 ,560097",830282,,Secondary School,080 23643752
57,,DEVA MATHA CENTRAL SCHOOL(H R B R BANASWADI),"H R B R BANASWADI BANGALORE KARNATAKA
,560043",830076,,Secondary School,080 25458180
58,,Dev-In National School,"Sy No. 3/1, Kodigehalli Main Road, Sahakaranagar (Kothihosahalli Village), Bangalore 560092
,560092",830520,,Secondary School,080 65651001
59,,DIANA PUBLIC SCHOOL,"No. 68, Chokkanahalli, Hegde Nagar Main Road, Jakkur Post, Yelahanka Hobli, Bangalore - 560064. ,560064",830286,,Secondary School,"0471
08028444469"
60,,DIYA ACADEMY OF LEARNING,"70/1 & 71, KODIGEHALLI MAIN ROAD, K.R.PURAM, BANGALORE -36 ,560036",830420,,Secondary School,080 65656782
61,,Edify School Bengaluru,"226/227, Somanahalli, Kanakapura Main Road ,560082",830500,,Senior Secondary,0 7022895987
62,,EKYA SCHOOL,"ITPL No. 2851, Friends Layout, ITPL Bypass Road, Doddanekkundi Extension ,560037",830514,,Secondary School,080 65971312
63,,Euro School (Whitefield),"36/183,behind KPS yard,Hoodi, Mahadevpura Post ,560048",830621,,Secondary School,080 65690967
64,,"Euro School(Chimney Hills, Hessarghatta Main Road)","#15, Chimney Hills, Hessarghatta Main Road ,560090",830561,,Secondary School,080 65000604
65,,Euro School(Sathanur Village Bangalore North),"Bangalore North Campus No.12,13
&14, Balaji Nagar, Sathanur Village, Bagalur Post ,562149",830623,,Secondary School,0 7829163111
66,,Florence Academy,"Huskur Main Road,Electronic City Post, Anekal Taluk, Bangalore 560100. ,560100",830628,,Senior Secondary,080 27848203
67,,Frank Public School,"CA No. 10, 17th Cross, 33rd Main Road, 6th Phase J.P.Nagar, Bangalore-560078 ,560078",830331,,Secondary School,080 41752226
68,,FREEDOM INTERNATIONAL SCHOOL,"CA - 33, SECTOR IV, KSR LAYOUT BANGALORE ,560102",830183,,Senior Secondary,080 25729825
69,,Gangothri International Public School,"Gangothri Campus, Venkateshwara Farm, Rajivgandhi Nagar, Vishwaneedam Post, Near Sunkadakatte, Magadi main road, Bangalore-560091 ,560091",830319,,Secondary School,080 23584897
70,,GEAR INNOVATIVE INTERNATIONAL SCHOOL,"175 DODDA KENNELLI OFF SARJAPUR ROAD & OUTER RING ROAD, DISTT BANGALORE KARNATAKA
,560035",830102,,Secondary School,080 25741993
71,,Geetanjali Olympiad School,"Sy # 77/7, Panathur Villaga Road, Kadabisanahalli, Varthur Hobli, Bangalore,karnataka-560103
,560103",830576,,Secondary School,080 65605559
72,,GEETANJALI VIDYALAYA,"SY NO 14/3 NEAR NARAYAN GURU MATT KAGGADASAPURA C V RAMAN NAGAR BANGALORE KARNATAKA ,560093",830160,,Senior Secondary,080 25272357
73,,Giridhanva School,"No: 22 giridhara 3rd cross near shani mahatma temple Devasandra K.R.Puram Bangalore 560036
,560036",830740,,Secondary School,080 25611575
74,,GLENTREE ACADEMY - WHITEFIELD,"NALLURAHALLI, WHITEFIELD, BANGALORE EAST, BANGALORE, KARNATAKA- 560 066 ,560066",830349,,Secondary School,080 65350066
75,,GLOBAL ACADEMY FOR LEARNING SCHOOL,"KANNADA KIRIYA PRATHAMIKA SHALE,No.40,SRI CHOWDESHWARI FARM,NEAR GLOBAL VILLEGE & RV ENGINEERING COLLEGE,PATTANAGERE MAIN ROAD, RAJARAJESHWARI NAGAR,
,560059",830634,,Secondary School,"080
9035222508"
76,,GLOBAL CITY INTERNATIONAL SCHOOL,"#135, 5th Main, 6th Cross, Mallesh Palya, New Thippasandra Post, Near C.V. Raman Nagar, principal@gcis.edu.in,president@gc is.edu.in ,560075",830515,,Senior Secondary,080 25349188
77,,Global Indian International School,"Heggondanahalli Village, Whitefield Sarjapur Main Road, Near Dommasandra Circle ,560087",830763,,Secondary School,080 30406301
78,,GR INTERNATIONAL SCHOOL,"BM KAVAL, NEAR AGARA VILLAGE, TATAGUNI POST , OFF KANAKAPURA MAIN ROAD, BANGALORE 560 062.
,560062",830597,,Secondary School,080 28427442
79,,GREEN BELL HIGH,"# 134/5, Opp. Medmaranahalli Dam, Badesab Doddi Road, Harohalli Hobli, Kanakapura Tq. , Ramanagara Dist. ,562112",830616,,Secondary School,080 - 65973295
80,,Green Valley English School,"Chunchagatta Main Road, Konanakunte ,560062",830618,,Secondary School,080 26320293
81,,GURU DARSHAN PUBLIC SCHOOL,"# 23, Gottigere, Bannerghatta Main Road, Bangalore. ,560078",830233,,Secondary School,080 64566648
82,,HMR International School,"# 41/1, 9th Main Road, 11th Cross, Hennur, Maruthi Layout, (H.B.R) Layout), Bangalore-560 043.
Kalyan Nagar Post ,560043",830463,,Secondary School,080 25435599
83,,HAL PUBLIC SCHOOL,"SURANJANDASS ROAD OPP HAL STAFF COLLEGE VIMANA PURA BANGALORE KARNATAKA ,560017",830078,,Senior Secondary,080 25220762
84,,Harsha International Public School,"Byraveshwaranagar, Nelamangla, Bangalore District. ,562123",830591,,Secondary School,080 28023500
85,,Harvest International School,"Survey No. 56/1B, Kodathi Village, Carmelram Post, Near Kodathi Silk Farm, Off Sarjapur Road, Bangalore East- 560035 ,560035",830434,,Secondary School,080 30268303
86,,HARWARD INTERNATIONAL SCHOOL,"DASANAPURA, TUMKURROAD, BANGALORE NORTH, BANGALORE ,562123",830335,,Senior Secondary,080 29723540
87,,HILL ROCK NATIONAL PUBLIC SCHOOL,"Sy.No. 101, Brahmadevara Gutte, Kodigehalli, 6th Block Vishveshwaraiah Layout, Nagarbhavi, Magadi Road, Bangalore - 560 091 ,560091",830677,,Secondary School,080 60509595
88,,Holy Cross School,"Abhayadhama Campus, Whitefield, Bangalore. ,560066",830295,,Senior Secondary,080 28454604
89,,ITI CENTRAL SCHOOL,"VIDYA MANDIR CAMPUS DOORAVANI NAGAR ITI TOWNSHIP A - AREA BANGALORE KARNATAKA
,560016",830075,,Secondary School,080 25662028
90,,Indian Public School,"1st A Main Road, Vijnanagar, Bangalore - 560 037 ,560037",830200,,Secondary School,080 41605431
91,,INDO SUNRISE INTERNATIONAL SCHOOL,"ISR Cross, Kattigenahalli Post, Jagisgenalhall Hobli, Hoskote to Malur Road, Hoskote taluk ,562114",830828,,Secondary School,7022901675
92,,JET SCHOOL,"HOMPLAGATTA CROSSING HOSUR MAIN ROAD, ANEKAL BANGALORE DISTT KARNATAKA ,560062",830134,,Secondary School,"08110
26323953"
93,,JSS PUBLIC SCHOOL,"NO:31 15TH MAIN 22ND CROSS BANASHANKARI 2ND STAGE BANGALORE KARNATAKA
,560070",830054,,Secondary School,080 22970131
94,,JAI TULSI VIDYA VIHAR,"Hosapalya, 22Km, Opp Pepsi, Mysore Road, Bangalore-74
,560074",830400,,Secondary School,080 28437061
95,,Jaigopal Garodia Rashtrotthana Vidya Kendra,"Main Road, Ramamurty Nagar
,560016",830369,,Secondary School,080 25665133
96,,Jaihind International School,"Jaihind International School, No 91
M.R Tower, Hongasandra, Begur Main Road. ,560068",830804,,Secondary School,8041208904
97,,JAIN HERITAGE SCHOOL,"18/4, ANJANEYA TEMPLE STREET, KEMPAPURA, HEBBAL ,560024",830424,,Senior Secondary,080 23626122
98,,JAIN INTERNATIONAL RESIDENTIAL SCHOOL,"JAKKASANDRA PO KANAKAPURA RAOD BANGALORE KARNATAKA
,562112",830070,,Senior Secondary,080 27577013
99,,Jain Public School,"Jakkasandra Post, Kanakapura Taluk,Bangalore ,562112",830190,,Secondary School,080 27577224
100,,JAWAHAR NAVODAYA VIDYALAYA(BAGALUR BANGALORE URBAN DISTT),"BAGALUR BANGALORE URBAN DISTT. KARNATAKA
,562149",840020,,Secondary School,080 28469055
101,,JAWAHAR NAVODAYA VIDYALAYA(BASHETTIHALLI DODDABALLAPUR ),"DODDABALLAPUR BASHETTIHALLI POST BANGALORE RURAL DISTT. KARNATAKA ,561203",840009,,Secondary School,080 27630781
102,,JES PUBLIC SCHOOL,"C. A. - 1, N. G. E. F., LAYOUT ( NURPATHUNGA NAGAR, NAGARABHAVI 1ST STAGE, BANGALORE - 72 ,560072",830841,,Secondary School,"4637
8023213135"
103,,Jnana Sweekar Public School,"Sy. 19/1 & 19/2, Thalagatpura Villege, Kanakapura Main Road, Bangalore. ,560062",830247,,Senior Secondary,080 28427472
104,,JNANA VIJNANA VIDYA PEETHA,"NO 13, 11TH MAIN 6TH CROSS R K LAYOUT PADMANABHA NAGAR BANGALORE KARNATAKA ,560070",830137,,Secondary School,0 26391509
105,,Jnana Vikas National Public School,"Sy. No. 21/4B, Bidadi, Ramanagara Taluk, Bangalore Rural dist Pin- 562109. ,562109",830292,,Secondary School,080 27307061
106,,JNANODAYA SCHOOL,"SHRI SHANKARA MATH COMPOUND SHANKARAPURAM BANGALORE KARNATAKA
,560004",830046,,Senior Secondary,080 26500524
107,,JSS PUBLIC SCHOOL(HBR LAYOUT),"HBR LAYOUT NEXT TO NEW BDA COMPLEX BANGALORE KARNATAKA ,560043",830166,,Secondary School,080 25437788
108,,JSS PUBLIC SCHOOL(HSR LAYOUT),"NO 283 5TH CROSS, 12TH MAIN V SECTOR HSR LAYOUT BANGALORE KARNATAKA
,560034",830164,,Secondary School,080 22970133
109,,JUBILEE SCHOOL,"Vijinapura, Doorvaninagar, ,560016",830705,,Secondary School,8025651999
110,,JYOTHY KENDRIYA VIDYALAYA,"YELACHENAHALLI KANAKAPURA ROAD BANGALORE KARNATAKA
,560078",830048,,Senior Secondary,080 26321237
111,,KLE SOCIETYS SCHOOL,"S NIJALINAGAPNA COLLEGE CAMPUS II BLOCK RAJAJI NAGAR, DISTT BANGALORE, KARNATAKA ,560010",830113,,Secondary School,080 23429807
112,,KMV RED HILLS HIGH SCHOOL,"#57, CHIMNEY HILLS, PIPELINE ROAD, CHIKKABANAVARA, BANGALORE ,560090",830461,,Secondary School,080 65470080
113,,Kairalee Nilayam Central School,"Kairalee Nilayam Campus, Vimanapura, Bangalore-560017.
,560017",830358,,Secondary School,080 25234313
114,,Karnataka Public School,"Chokkanahalli,Jakkur Post, Yelahanka Hobli, Bangalore
,560064",830223,,Secondary School,080 32972780
115,,Katherine Public School,"Vidya Nagar Post Bangalore North Karnataka. ,562157",830548,,Senior Secondary,"080
09632573735"
116,,KENDRIYA VIDYALAYA NO.1(JALAHALLI WEST),"AFS JALAHALLI WEST BANGALORE KARNATAKA
,560015",800004,,Senior Secondary,080 28389852
117,,kendriya vidyalaya no.2(jalahalli east),"a.f.s. jalahalli east bangalore karnataka ,560014",800016,,Senior Secondary,080 28389700
118,,KENDRIYA VIDYALAYA(A.S.C.CENTRE SOUTH VICTORIA ROAD),"A.S.C.CENTRE SOUTH VICTORIA ROAD BANGALORE KARNATAKA ,560047",800001,,Secondary School,080 25300408
119,,KENDRIYA VIDYALAYA(C V RAMAN NAGAR),"C V RAMAN NAGAR D.R.D.O COMPLEX C V RAMAN NAGAR
, BANGALORE KARNATAKA
,560093",800023,,Secondary School,080 25243919
